text,sentiment
สินค้าส่งไว ร้านค้าให้บริการดีมากกก เเม่ค้าน่ารัก สินค้าดีมีคุณภาพ เเนะนำร้านนี้เลยจ้า มีโอกาสจะอุดหนุนอีกน้าาา,pos
สินค้าส่งเร็วลองใช้แล้วสินค้ามีคุณภาพมากสั่ง 1 สั่ง 1 วัน 3 วันได้คุ้มจ้า,pos
โทรศัพท์สวยค่ะ,pos
"สินค้าใช้เวลาจัดส่งเร็วมาก สินค้าคุณภาพมาตรฐาน ราคาไม่แพงใช้โค้ดลดแล้วตก 3,890 บาท มีรับประกัน 1 ปี สินค้าลดราคาเลือกสีไม่ได้แต่ไม่เป็นไรเน้นใช้งาน",pos
สินค้าส่งเร็วลองใช้แล้วสินค้ามีคุณภาพมากสั่ง 1 สั่ง 1 วัน 3 วันได้คุ้มจ้า,pos
"สินค้าใช้เวลาจัดส่งเร็วมาก สินค้าคุณภาพมาตรฐาน ราคาไม่แพงใช้โค้ดลดแล้วตก 3,890 บาท มีรับประกัน 1 ปี สินค้าลดราคาเลือกสีไม่ได้แต่ไม่เป็นไรเน้นใช้งาน",pos
แพ็คสินค้ามาดีมาก กันกระแทก2ชั้น คุณภาพเสียงดีคะ ขนาดหูฟังกระทัดรัด เหมาะกับผู้หญิงมากคะ,pos
ซื้อช่วงแฟลตเซลราคาดีมาก ลดจนคุ้มเลย การบรรจุกล่องก็แข็งแรงดี การจัดส่งก็รวดเร็วมากสั่ง 11.11 ได้รับ 3 วันหลังจากนั้น,pos
สินค้าแพคมาอย่างดี เหมาะสำหรับคนใช้งานทั่วไป,pos
ตัดสินใจซื้อไม่ผิดหวังเลยจริงๆค่ะ ซื้อตอน11.11 วันที่12 ก็ได้รับเลย ไวมากๆๆสุดประทับใจ kerry ส่งไวดีและถึงอย่างปลอดภัย ได้ส่วนลดสุดคุ้ม ลองใช้งานมาหลายวัน ดีมากจริงๆ ใช้เป็นเครื่องสำรองที่ดูจะดีกว่าเครื่องหลักละคะ ชอบมากๆ ,pos
แพคของดี แต่กล่องแอบบุบหลายจุด โดยรวมของไม่เสียหาย ส่งช้านิดหน่อย อาจจะเพราะช่วงหลังโปร11.11 แต่เป็นของแท้มือ1 ถูกใจ ได้มาในราคาดีมาก ,pos
สินค้าดีมาก สวยถูกใช้ เหมาะแก่การใช้งานหลากหลายรูปแบบ การแพ็คบรรจุสินค้าดี ขนส่งดี ส่งสินค้าไว,pos
ได้รับสินค้าถูกต้อง สภาพสมบูรณ์ / ใช้ระยะเวลาในการจัดส่งไม่นาน / แพ็คสินค้าห่อบับเบิ้ลใส่กล่องมาอย่างดี / สวยถูกใจมากค่ะ,pos
สินค้าดีค่ะ แต่แอบเสียงดัง ของมาถึง2-3วัน แต่ขนส่งไม่ยอมมาส่ง บอกว่ารถเต็ม ถามว่าจะมาส่งวันไหน ไม่มีคำตอบให้ จนได้ไปเอาของเอง,pos
รูปทรงสวย ดูทันสมัย สเปคดี ราคาเบาๆ ขนส่งดี เป็นสินค้าพรีออเดอร์ แต่รอไม่นาน ส่งไวกว่าที่ระบุในออเดอร์ ขนส่งดี,pos
ดีไซน์สวยหรู ใช้งานได้ปกติดี คุ้มกับราคาดีไซน์สวยหรู ใช้งานได้ปกติดี คุ้มกับราคาดีไซน์สวยหรู ใช้งานได้ปกติดี คุ้มกับราคา,pos
ทาง ร้าน จัด ส่ง สิน ค้า ให้ เร็ว ดี ค่ะ สิน ค้า ไม่ ได้ รับ ความ เสีย หาย ทาง ร้าน ห่อ กัน กระ แทก แพ๊ค ใส่ กล่อง มา ให้ อย่าง ดี ได้ มา ใน ราคา 3463 บาท คุ้ม มาก ค่ะ ,pos
ร้านส่งสินค้าไว สินค้ามาตรงสีที่สั่ง กล่องไม่เสียหาย แพ็คสินค้าแน่นหนา ให้ 5 ดาว รอบหน้าจะสั่งอีกแน่นอน,pos
สินค้ามาถึงเเล้วน่ะ ซื้อมาได้ในช่วงลดราคา ราคาลดลงมาก็เลย ที่เลือกซัมซุงรุ่นนี้เพราะดีโทรศัพท์ออกแบบมาสวยกล้องหลังสวยเเต่กล้องหน้าพังไม่เป็นท่า สวยน่าบางเบาดี ทัชหน้าจอได้เร็วลื่น ภาพชัดอะไรชัดหมด รวมเเล้วก็คุมอยู่ประมาณนึง,pos
แย่มากร้านระดับนี้แพ็คของแย่กว่าของตลาดนัดอีก เทปชั้นเดียวแปะให้จบๆ ของยังไม่ถึงลูกค้าก็ฉีกเละหมดแล้ว ส่องจากดาวอังคารก็เห็นของข้างในแล้ว ของราคาไม่ถูกนะ ทิชชู่ห่อละบาทยังแพ็คดีกว่านี้เลย,neg
ส่งตู้เย็นบุบมาให้อีกแล้ววววว เวลาซื้อตอนลดราคา ซัมซุงชอบเลือกส่งแต่ตู้ไม่ดีมาให้ ครั้งที่แล้วสั่งมาก็ส่งตู้บุบมาให้ รอบนี้มาสั่งใหม่ ก็ยังส่งตู้บุบมาให้อีก เพลียใจซัมซุงมากๆ แทนที่จะส่งของดีๆมาให้ลูกค้า พอเป็นช่วงที่มีโค้ดลดราคานี่ส่งมีตำหนิมาให้ตลอด ใครจะซื้อต้องระวังให้ดีๆนะคะ ถ้าใครโชคดีก็ดีไป แต่ถ้าโชคไม่ดีจะได้ของมีตำหนิประจำเลยค่ะ,neg
แจ้งเคลม ส่งไป ก็ ส่งตัวเดิมกลับมา บอกว่าปกติ,neg
ชั้นวางแตก แจ้งทางศูนย์ไป ศูนย์จะให้ส่งคืนเพื่อรอตรวจสอบและจะทำเรื่องคืนเงินให้ ใช้เวลา20 วัน ทำเรื่องส่งคืนยุ่งยากมาก หลายขั้นตอน ซึ่งไม่ใช่ความผิดของเรา โดยรวมรู้สึกไม่ดีมากค่ะ ซื้อของมา มาเจอของมีปัญหา เสียเวลามากค่ะ ที่ซื้อพราะตู้เย็นเครื่องเดิมส่งซ่อม มาเจอแบบนี้ เซ็งค่ะ,neg
สินค้าแย่มากมีรอยบุบทั้งสองจุดหมดคำจะพูดครับ,neg
ส่งช้าขนส่งมีปัญหาดองสินค้าที่ศูนย์คัดเเยก เครื่องสุดท้ายกับ ก่อนหน้าซื้อ รีวิวเราไม่ให้คนเห็น เเค่ตำหนิแพคไม่ดีเพราะเครื่องราคาเเพง,neg
ใครจะซื้อโทรศัพท์มือถือ ผ่านช่องทางออนไลน์ ขอเตือนไว้ก่อนนะครับ แอดมินบริการห่วยมากๆ แกะกล่องออกมา พบว่ามีรอยอยู่ที่มุมเครื่อง ไม่รู้ผ่าน QC จากโรงงานมาได้ยังไง เหมือนเอาเครื่องที่มีตำหนิมาขายเลย ,neg
ครั้งเดียวพอครับ กับมือถือซัมซุง ห่วยจริงๆ ใครจะซื้อก็คิดดีๆ นะครับ มือถือเครื่องนึง ราคาไม่ใช่ถูกๆ แต่เจอบริการหลังการขายแบบนี้ก็ไม่ไหวนะครับ เงื่อนไขการเคลมก็ยากจริงๆ ต้องมีคลิปถ่ายให้เห็นยันเห็นตำหนิเครื่อง สั้นๆ นะครับ,neg
ห่วยมาก มีรอยบุบที่ตรงประตู,neg
รอยบุบเต็มเลยใครคิดจะซื้อร้านนี้คิดดีๆนะครับถ้ารับได้ก็ซื้อเลยครับ,neg
รูปทรงสวย ดูทันสมัย สเปคดี ราคาเบาๆ ขนส่งดี เป็นสินค้าพรีออเดอร์ แต่รอไม่นาน ส่งไวกว่าที่ระบุในออเดอร์ ขนส่งดี,pos
ร้านค้าดี ช้อปปี้ดี ขนส่งยอดแย่ ดองของ เป็นอาทิตย์ ติดต่อยาก สินค้าเสียหาย บุบเป็นสิบรอย สุดท้ายโยนให้ขนส่ง F มาส่ง ไร้ความรับผิดชอบมาก รู้งี้ซื้อจาก ห้างดีกว่า พนักงานยังรูจักรักษาสินค้าของลูกค้า ต่างจากไอ้พวกขนส่ง มันห่วย... เสียความรู้สึกมาก,neg
นค้าดี แต่ขนส่งแย่ ถึงวันส่งไม่ยอมส่งเลื่อนไปตั้ง 3 วัน แย่มากกกกกกกก เปลี่ยนบริษัทขนส่งจะดีมาก,neg
ได้มาในราคาช่วง10.10 จิง แต่สินค้ามีรอยบุ ไม่แน่มจเป็นที่ขนส่งไรือทางร้านเลย ไม่มีสินค้าเปลี่ยนด้วย ทางขนส่งมาส่งก็เอาตู้เย็นนอนมา,neg
ตัวสินค้าโอเค แต่การขนส่งไม่ดีเลยคะ พนง.ส่งของพูดจาไม่สุภาพคะ,neg
สินค้าไม่มาส่งร้านไม่ช่วยตามลูกค้าเลย,neg
บุบ 3 ที่ ของสั่ง กว่าจะได้ 6 วัน,neg
เปิดกล่องมา ตัวเครื่องบุบ,neg
ตู้เย็นมีรอยบุบนิดหน่อย เหมือนใส่โฟมกันกระแทกด้านหน้า บางเกินไป,neg
สินค้าชำรุดมีตำหนิ ตรงขอบด้านล่าง,neg
ปั่นดังมาก ปั่นแห้งเป็นเครื่องซักผ้าเดินได้เลยค่ะ อารมณ์เหมือนหนักไม่เท่ากัน เหวี่ยงมาก ดังไป 7บ้าน8บ้าน ไม่รู้จะใช้ได้ถึงเดือนหรือเปล่า เลิกค่ะแบรนด์นี้ สภาพตามราคามาก,neg
ผิดหวังมากๆกับการบริการ..เราเป็นแฟนตัวยงของซัมซุง..ของใช้แทบทุกอย่างรวมทั้งมือถือก็ซัมซุง..สั่งตู้เย็นมาตอนอ่านรีวิวก็มีแต่คนได้ของบุบและเครมยากวุ้นวาย..แต่เราก็ซื้อเพราะว่าชอบแบรนด์นี้..แต่สุดท้ายเราก็ได้ของบุบเช่นกันเหมือนกันกับที่หลายๆคนกลัว..พอแจ้งทางร้านให้ทราบ ก็ได้ขั้นตอนมาแหละเยอะแยะมาก ถ้าจะตีคืนก็น่าปวดหัวกับขั้นตอนต่างๆที่ยาวเหยียด ของก็ไม่มีใช้...ของไม่ใช่ว่าชิ้นเล็กๆจะให้ขนไป-ขนมา...สรุปลูกค้าต้องทำใจยอมใช้ของแบบบุบๆไปเห็นรอยบุบทีไรก็ได้แต่คิดว่า..คงต้องพอได้แล้วกับแบรนด์นี้,neg
สินค้ามีรอยบุบ พนักงานที่ส่งพูดจาไม่ดี,neg
สินค้ามีรอยบุบเยอะมากทักไปให้รับผิดชอบแต่กลับให้คูปอง300เพื่อซื้อของร้านตัวเองอีกซื้อของชิ้นนี้ยังมีรอยบุบขนาดนี้ชื้นต่อไปจะไม่เยอะกว่านี้หรอบริการแย่มากๆ,neg
ไม่มีหัวชาร์ต ต้องซื้อเอง,neg
มีตำหนิภายนอก,neg
ห่วยมากครับร้านนี้,neg
ใช้ภาษาในการตอบแชท ที่ไม่เป็นมิตรกับลูกค้า เลย,neg
สินค้าบุบทำเรื่องคืน:จะส่งสินค้ามาเปลี่ยนแต่ให้คำตอบไม่ได้สักทีว่าจะมาเมื่อไหร่:ร้านตอบแต่ให้รอๆๆๆๆ..แล้วบอกไม่มีเปลี่ยนให้แล้ว..กว่าจะได้เงินคืนเดือนนึง แย่,neg
ฝากถึงsamsung ควรกับชับ พนง. ขนส่งให้โทรแจ้งลูกค้าด้วย ตามภาพไม่มีการโทรแจ้ง มาถึงและวางไว้เลย โชคดีที่กล้องเตือน ถ้าผมไม่อยู่บ้าน แล้ววางไว้แบบนี้ แล้วช่วงนี้คือฤดูฝน หากฝนตกลงมา กล่องโดนฝนแน่นอน เซงมากๆครับ,neg
ใครคิดจะซื้อ A54 พิจารณาให้ดี สินค้าไร้คุณภาพ ใช้งานแค่ 3 วันมีปัญหาแฟลชไม่ทำงาน ทำเรื่องคืนสินค้าแต่ร้านค้าปฎิเสธ อัดวิดิโอไว้เป็นหลักฐานว่าแฟลชไม่ทำงานหลายครั้งแต่ร้านค้าไม่รับผิดชอบแต่อย่างใด สมแล้วนะที่เป็นมือถือของโลกที่สาม,neg
ใครที่ต้องการให้ร้านออกใบกำกับภาษีไม่แนะนำร้านนี้ครับ บอกให้รอ 14 วันทำการก็คือ 2 อาทิตย์กับอีก 4 วันหลังเรากดรับสินค้าแล้วจะส่ง email ให้ แต่พอครบวันจริงก็ไม่ส่งมา ทวงถามก็แค่จะตรวจสอบให้แล้วก็เงียบ ไม่อยากคิดถึงบริการอื่นๆเลย - แย่มากใส่ sim2 พร้อม sdcard ไม่ได้ ใครมันออกแบบลดการใช้ตรงนี้ไป,neg
ตอนนี้ทักไปทางชอปปี้ ไม่มีเจ้าหน้าตอบกลับเลย ว่าจะแก้ไขยังไง สินค้่มีตำหนิเยอะเกินไป รับไม่ได้,neg
ส่งของแถมไม่ครบ ทักไปถามตอบช้า ไม่ติดตามแจ้งผลการประสานงาน ต้องให้คอยตาม,neg
ได้ของไม่ครบตามที่มีในรูป,neg
รอบบุบเยอะอยู่นะ เสียบปลั้กเสียงคอมดังมากรอดูต่อไป,neg
ไม่มีสายชาร์จมาให้ ไม่มีเต้าเสียบมาให้ ค่อยๆตัดออกไป หรือส่งขาดก็ไม่รู้ แอบเสียดายเงิน ความเร็วเครื่องมีหนืดนิดนึงค่ะ,neg
คุณภาพต่ำ จอเหลืองตั้งเเต่เปิดมาเลย เสียความรู้สึกมากจากคนที่เคยใช้sumsung มาก่อน ใครจะซื้อแฟรชเซล คิดดีๆ เคลมยากมาก ต้องไปขอใบกำกับอาการที่ศูนย์เท่านั้นจึงจะดำเนินเรื่องได้ มันใช่ธุระลูกค้าไหมอ่ะ ที่ต้องเสียเวลา ที่ซื้อออนไลน์เพราะอยู่ไกลจากศูนย์ แต่จะต้องไปที่ศูนย์เพราะจอเหลือง สรุป ไม่รับผิดชอบใดๆ ไม่ได้รับการแก้ไขใดๆ,neg
โดยรวมแล้วราคาถูก แต่ไม่มีแถมไรเลยพวกสายชาร์จ ร้านก็ไม่ทักมาแจ้งนิดนึงเลย,neg
ลองใช้งานแล้วมีน้ำข้าง หลีกหนีชื้อตัวอื่นดีกว่าครับ!,neg
สั่งสินค้า8.8 สั่งสินค้าชิ้นใหญ่ครั้งแรก ได้รับของวันที่10/8 ไม่โอเคร ไม่ประทับใจ สินค้ามีรอยบุบเยอะมาก และการตอบรับจากร้านค้าค่อนข้างยุ่งยาก ทั้งๆเป็นบริษัทใหญ่โต ส่วนตัวเจอแบบนี้ ไม่โอเคร,neg
การซื้อครั้งนี้รู้สึกแย่มาก มากที่สุด เครื่องใหม่มือ 1 ซื้อผ่านชอปปี้จาก ศูนย์เลย มาถึงเครื่องมีรอยบุบด้านหลัง คือเข้าใจนะว่ารอยบุบนิดเดียว แต่ของใหม่ไง มือหนึ่งน่ะ ควรผิดพลาดเรื่องนี้หรือเปล่า เราใช้ซัมซุงทั้งมือถือ ทีวี ชอบแบรนด์นี้ แต่เจอเคสนี้ก็พอและ จบกัน,neg
ระบบ shopee ตัดเงินมีปัญหา รู้ตอนธนาคารเรียกเก็บเงิน,neg
คุณภาพของสินค้าแย่มากรู้สึกไม่ประทับใจ ,neg
ของไม่มีปัญหา แต่ส่งโทรศัพท์แพ็คพัสดุได้ทุเรศมากกก,neg
เสียงปั่นดังมากกกก เสียงดังไป7บ้าน8บ้าน ใช้งานไม่ดีเลย ไม่ไหวอ่ะ เสียงดังสุดๆๆๆๆๆๆ ไม่ไหวจะเคลียร์,neg
สินค้าเสียหาย ทางร้านไม่มีอะไหล่ทดแทนให้ ถ้าจะเคลมต้องเคลมทั้งตู้ คือเสียเวลามากค่ะ ตู้เย็น8.3 คิวนะคะ ไม่ใช่แก้วเก็บความเย็น ที่จะขนส่งสะดวก ทางร้านน่าจะตรวจสอบสินค้าก่อนส่ง ดูแล้วไม่น่าจะเสียหายจากการขนส่งเพราะมันแตกและวางมาในู้ยุแล้วค่ะ,neg
เปลี่ยนสีไม่ได้ กดยกเลิกก็ปฏิเสธ ไม่ให้ลูกค้ายกเลิกสั่งใหม่ ไม่โอเค,neg
ไม่มีบริการยกของให้ ต้องให้ยกเอง ถ้าคนแก่อยู่คนเดียวให้ทำไง แย่มากเลย ผิดหวังไม่น่าสั่งทางนี้เลยครั้งเดียวพอ,neg
เหมือนเอาของหลุด QC มาขาย ขายได้นะ แต่ควรแจ้งแต่แรก แล้วเราเต็มใจซื้อ ไม่ใช่ตั้งราคาแฟลชเซลล์ ถูกแล้วเอาของมีตำหนิมาส่งลูกค้า แย่มาก เสียความรู้สึก ไม่ติดที่ต้องแบกของไปดอปคืนเอง จะส่งคืนเลย รอยบุบที่ดูแล้วไม่น่าเกิดจากขนส่ง จริงๆไม่ซีเรียสเลยถ้าบอกแต่แรก ดาวเดียวยังมากไปกับแอดมิน ที่บริการได้แย่มาก ไม่แนะนำอะไรเลย ต้องการหลักฐานครบก่อนจะบอก ครั้งเดียวพอ เห็นเป็นศูนย์ ถึงไว้ใจ แต่บริการแบบนี้ ห่วย,neg
ส่งของมา เชือกรัดกล่องและกล่องกระดาษปกติไม่มีปุบ ไม่มีรอย แต่สินค้าภายในฝาหน้าปุป มีคนเตือนแล้วระวังสินค้าบุปแตก,neg
ยอดแย่อยากจะให้ติดลบ100คะแนน​ ไฟด้านในมีเหมือนไม่มี​ มืดสนิท​ เวลาเดือดหกล้นมองไม่รู้เรื่อง​ จานหมุนหรือไม่หมุน​ อาหารสุกหรือไม่​ มองไม่เห็น​ ส่งคืนไปแล้วก็ส่งกลับมา​ ทำเรื่องคืนของชอปปี้ก็ไม่อนุมัติบอกไฟไม่เสีย​ ถึงไม่เสียแต่มืดสนิทจะผลิตมาเพื่ออะไร​ แย่มาก​ ขนาดยังไม่ใช้คืนไม่ได้​ แต่ที่รุ้เพราะมีอีกเครื่องนึงเป็นแบบเดียวกัน​ของซัมซุงมืดสนิท แย่สุดๆ​ ซื้อของในห้างยังคืนได้​ นี่ขนาดเลือกmallในชอปปี้ยังแย่ขนาดนี้ จะเลิกซื้อซัมซุงแล้ว​ ตู้เยนพึ่งใช้ก็ไม่เย็น​ ซัมซุงยอดแย่สุดๆ​ จะขายอย่างเดียวไม่รับผิดชอบ​ ก่อนจะตอบว่ามีปัญหาให้ทักแชท​ ทักไปก็ไม่รับผิดชอบ​ อย่าตอบแบบดูดี​ ทักแก้ไขไปเป็นอาทิตย์​สุดท้ายไม่ให้คืน​ ส่งสินค้ากลับมาเฉย​ สภาพส่งกลับมาแตกอีก ด้านในที่ว่าเป็นเซรามิคเคลือบหลุดแตกออกมาเฉย2จุดบนล่าง​ ขนาดยังไม่ได้ใช้งาน​ ห่วยสุดๆ,neg
บุบในกล่องเลย​ ไม่รับเคลมด้วย ต้องถ่ายให้ละเอียด​ๆ,neg
สินค้ามีรอยบุบ ทักไปถามไม่มีการตอบกลับใดๆ,neg
หน้าจอติดเหลือง ถ่ายเซลฟี่คือป่วยมาก แถมกล้องโฟกัสไกลด้วย หน้าไม่จับ ไปจับด้านหลัง แต่เครื่องให้ทดลองเล่นที่ช้อป สีสันสดใสดี เครื่องจริงที่ได้รับ จอติดเหลือง ไม่คมชัดเท่าไหร่ ศูนย์ซ่อมบอกปกติ พนักงานช้อปขายบอกเป็นที่ล๊อตการผลิตจอ จ้าาาาา,neg
ได้รับสินค้าจากทางร้านแล้ว สินค้าทีได้รับตกปกตามที่ได้สั่งกับทางร้านค้าไว้ ทางร้านส่งสินค้าไวมากก แต่ กล้องถ่ายภาพ ไม่ดี ถ่าย Portrait ได้บ้าง ไม่ได้บ้าง,neg
สินค้าน่านะมีปัญหา ติดต่อกลับหน่อยคะ แชมไปก้ไม่ได้คำตอบ,neg
เป็นรอยด้านหลังตามรูป .. แจ้งร้านสินค้ามีสต๊อกขาย แต่ไม่มีให้เปลี่ยน เลยไม่สะดวกส่งคืนเพราะจำเป็นใช้งาน,neg
สายชาร์จเสีย adeptor พัง ร้านไม่ให้เครม ส่งของที่ไม่มีคุณภาพมาแล้ว ให้ติดต่อศูนย์ซัมซุงโดยตรง ขอบคุณสำหรับคำตอบที่ได้รับคะ,neg
ส่งช้า ไม่เป็นมืออาชีพ ช้ามากถึงมากๆ ระบบจัดการห่วยมาก,neg
กล่องถูกเปิดก่อนจะมาถึงมือ คืออะไรส่งก็ช้า,neg
ได้รับสินค้าถูกต้อง สภาพสมบูรณ์ / ใช้ระยะเวลาในการจัดส่งไม่นาน / แพ็คสินค้าห่อบับเบิ้ลใส่กล่องมาอย่างดี / สวยถูกใจมากค่ะ,pos
สินค้าดีค่ะ แต่แอบเสียงดัง ของมาถึง2-3วัน แต่ขนส่งไม่ยอมมาส่ง บอกว่ารถเต็ม ถามว่าจะมาส่งวันไหน ไม่มีคำตอบให้ จนได้ไปเอาของเอง,pos
ส่งไวดีงาม,pos
อยากได้สีขาวแต่มีแต่สีดำ แอบส่งช้า แต่ไม่เป็นไรรับได้จ้า,pos
รูปทรงสวย ดูทันสมัย สเปคดี ราคาเบาๆ ขนส่งดี เป็นสินค้าพรีออเดอร์ แต่รอไม่นาน ส่งไวกว่าที่ระบุในออเดอร์ ขนส่งดี,pos
ส่งไว สินค้าคุณภาพดี ชอบมากๆๆๆ คุ้มค่าคุ้มสุดๆได้เงินคืนอีก,pos
